Name,Amount
865 HORNBY STREET BUILDING LTD.,"5,612,626 "
88 PROFESSIONAL CENTER LTD.,"304,666 "
947 FORT HOLDINGS LTD.,"1,709,438 "
960 QUAYSIDE DRIVE HOLDINGS LTD.,"298,520 "
A COMMUNITY VISION FOR CHILDREN AND FAMILIES LTD.,"123,960 "
A J PUMPS,"62,179 "
A. G. APPEL ENTERPRISES LTD.,"149,971 "
A. L. SIMS AND SON LTD.,"3,936,876 "
A. SANFORD & SON ENTERPRISES LTD.,"25,114 "
A. TOUTANT CONSULTING GROUP (1994) LTD.,"78,470 "
A. WILLOCK INFORMATION SYSTEMS INCORPORATED,"742,560 "
A.C.E. COURIER SERVICES,"197,188 "
A.L. SOTT (NANAIMO) INC.,"67,924 "
A.L. SOTT FINANCIAL (102ND) INC.,"755,608 "
A.S.I. ACCOUNTING SERVICES INC.,"26,472 "
AARDE ENVIRONMENTAL LTD.,"25,957 "
ABBOTSFORD COMMUNITY SERVICES,"180,748 "
"ABBOTT LABORATORIES, LIMITED","1,115,223 "
ABC COMMUNICATIONS,"740,774 "
ABERDEEN HELICOPTERS LTD.,"450,553 "
ABLETECH ASSISTIVE TECHNOLOGIES INC.,"122,886 "
"ABRAHAMSE, SANDRA JOYCE","42,809 "
ABSTRACTIVE TECHNOLOGY CONSULTING INC.,"26,240 "
AC AIRWAYS LTD.,"116,498 "
ACCESS COPYRIGHT,"110,870 "
ACCESS HELICOPTERS LTD.,"141,347 "
ACCURATE LOCATION SURVEYS,"67,456 "
ACE TRAFFIC CONTROL LTD.,"32,267 "
ACKLANDS – GRAINGER INC.,"344,707 "
ACKO SYSTEMS CONSULTING INC.,"153,352 "
ACL SERVICES LTD.,"219,592 "
ACME SUPPLIES LTD.,"62,651 "
ACME VISIBLE FILING SYSTEMS LTD.,"314,073 "
ACOM BUILDING MAINTENANCE LIMITED,"131,859 "
ACRODEX INC.,"80,394 "
ACROW LIMITED,"70,905 "
ACTIVE EARTH ENGINEERING LTD.,"469,097 "
ACUMEN COMMUNICATIONS GROUP INC.,"118,191 "
"ADAIR, DOUGLAS BRENT, DR","184,039 "
ADAMS LAKE INDIAN BAND,"191,441 "
"ADAMS, NANCY E","118,818 "
ADAPTIVE RESOURCE MANAGEMENT LTD.,"44,825 "
ADELMISH INVESTMENTS LTD.,"52,579 "
ADMIRAL ROOFING LTD.,"152,250 "
ADMIRALS WALK PROPERTIES LTD.,"31,160 "
ADOBE SYSTEMS INC,"1,006,098 "
ADPRO CHANGE SYSTEMS INC.,"107,721 "
ADSHEAD HOLDINGS LIMITED,"54,567 "
ADVANCED DRAINAGE SYSTEMS,"25,595 "
ADVANCED MILLWRIGHT SERVICES LTD.,"720,383 "
ADVANCED PARKING SYSTEMS LTD.,"65,405 "
ADVANCED TECHNOLOGY CORP,"48,525 "
ADVANCED TELEMETRY SYSTEMS INC,"111,696 "
ADVANIS INC.,"705,349 "
ADVANTAGE HELICOPTERS INC.,"440,516 "
ADVANTAGE RELOCATION SYSTEMS LTD.,"103,932 "
ADVENTURE PAVING A DIVISION OF YCS HOLDINGS LTD.,"1,884,487 "
AECOM CANADA LTD.,"815,207 "
AEROBOTIKA AERIAL INTELLIGENCE LTD.,"67,633 "
AERYON LABS INC.,"311,342 "
AFD PETROLEUM LTD.,"130,420 "
AGAMYA BUSINESS SERVICES LLP,"768,300 "
"AGAR, DOUGLAS J, DR","31,742 "
AGENCE GRAVEL INC.,"84,530 "
AGFOR INDUSTRIES LTD.,"55,072 "
AGILENT TECHNOLOGIES CANADA INC.,"144,323 "
AIDS NETWORK KOOTENAY OUTREACH AND SUPPORT SOCIETY,"25,000 "
"AIELLO, FRANK JOSEPH","88,332 "
"AINS, INC.","68,825 "
AINSWORTH LUMBER CO LTD,"280,396 "
AIR NORTH,"58,423 "
