Name,Amount
0176992 B.C. LTD.,"50,158"
0690528 B.C. LTD.,"238,018"
0699306 B.C. LTD.,"37,992"
0707249 B.C. LTD.,"87,799"
0724686 B.C. LTD.,"65,048"
0731010 B.C. LTD.,"40,890"
0734121 B.C. LTD.,"773,575"
0745245 B.C. LTD.,"324,812"
0745248 B.C. LTD.,"96,582"
0751380 B.C. LTD.,"219,169"
0765777 B.C. LTD.,"718,794"
0765891 B.C. LTD.,"87,360"
0772892 B.C. LTD.,"190,120"
0785350 B.C. LTD.,"1,452,012"
0787308 B.C. LTD.,"96,152"
0790812 B.C. LTD.,"241,371"
0791082 B.C. LTD.,"41,727"
0798001 B.C. LTD.,"77,738"
0805653 B.C. LTD.,"141,504"
0812652 B.C. LTD.,"1,604,407"
0819042 B.C. LTD.,"27,512"
0822796 B.C. LTD.,"25,082"
0823508 B.C. LTD.,"91,535"
0826953 B.C. LTD.,"124,890"
0832958 B.C. LTD.,"114,750"
0838258 B.C. LTD.,"71,478"
0853784 B.C. LTD.,"36,160"
0864449 B.C. LTD.,"84,685"
0865482 B.C. LTD.,"1,005,953"
0888879 B.C. LTD.,"324,110"
0890101 B.C. LTD.,"136,176"
0893132 B.C. LTD.,"1,222,234"
0899919 B.C. LTD.,"283,917"
0911217 B.C. LTD.,"79,710"
0913605 B.C. LTD.,"27,542"
0914368 B.C. LTD.,"68,951"
0925621 B.C. LTD.,"33,668"
0928541 B.C. LTD.,"126,857"
0929528 B.C. LTD.,"91,052"
0937197 B.C. LTD.,"105,917"
0938541 B.C. LTD.,"163,282"
0941825 B.C LTD.,"26,120"
0953441 B.C. LTD.,"213,759"
0956836 B.C. LTD.,"2,365,606"
0975183 B.C. LTD.,"615,112"
0983997 B.C. LTD.,"133,352"
0988936 B.C. LTD.,"112,297"
0992760 B.C. LTD.,"163,538"
0996501 B.C. LTD. & WILLINGDON DEVELOPMENTS (AQ/MIB/TWN) LIMITED PARTNERSHIP,"1,938,452"
0997218 B.C. LTD.,"442,357"
1007474 B.C. LTD.,"217,488"
1009030 B.C. LTD.,"41,421"
101 INDUSTRIES LTD.,"41,622"
101079362 SASKATCHEWAN LTD.,"59,960"
1022117 ALBERTA LTD.,"61,225"
1025411 B.C. LTD.,"759,552"
1028074 B.C. LTD.,"726,039"
10307 HOLDINGS LTD. & ANDELI VENTURES LTD.,"58,969"
1047070 B.C. LTD.,"177,964"
1048508 B.C. LTD.,"1,408,718"
1049546 B.C. LTD.,"281,821"
1052066 B.C. LTD.,"36,234"
1054575 B.C. LTD.,"81,134"
1054579 B.C. LTD.,"91,271"
1057240 B.C. LTD.,"271,489"
1070715 B.C. UNLIMITED LIABILITY COMPANY,"948,487"
1072638 B.C. LTD.,"69,762"
1075508 B.C. LTD.,"112,151"
10793574 CANADA ASSOCIATION DBA CANADA'S DIGITAL TECHNOLOGY SUPERCLUSTER,"750,000"
1085625 B.C. LTD.,"101,734"
1087029 B.C. LTD.,"142,015"
1090178 B.C. LTD.,"515,130"
1097575 B.C. LTD.,"52,899"
1099538 B.C. LTD.,"41,139"
1118109 B.C. LTD.,"622,388"
1123314 B.C. LTD.,"144,368"
1127801 B.C. LTD.,"277,200"
1142661 B.C. LTD.,"61,400"
1155WP HOLLYBURN PROPERTIES LIMITED,"176,721"
1157784 B.C. LTD.,"121,762"
1159312 B.C. LTD.,"164,575"
1167786 B.C. LTD.,"74,234"
1180 IRONWOOD CO. LTD.,"288,833"
11996 HOLDINGS INC.,"161,904"
141187 VENTURES LTD.,"10,252,741"
153 MILE RANCH LTD.,"55,000"
16142 YUKON INC.,"47,226"
1634459 ALBERTA LTD.,"555,428"
163904 CANADA INC.,"31,458"
1675 DOUGLAS (BC) PROPERTIES INC.,"1,170,985"
1741048 ALBERTA LTD.,"31,205"
1773745 ALBERTA INC.,"51,794"
1803 DOUGLAS HOLDINGS LTD.,"473,912"
1851239 ALBERTA LTD.,"36,107"
1921564 ONTARIO INC.,"46,503"
20434 64TH AVENUE LANGLEY HOLDINGS INC.,"33,782"
2073393 ONTARIO INC. & OMERS REALTY CORPORATION & GUINNESS TOWER HOLDINGS LTD.,"171,515"
2073393 ONTARIO INC. & OMERS REALTY CORPORATION & OCEANIC PLAZA HOLDINGS LTD.,"1,595,131"
2131158 ALBERTA LTD.,"28,308"
221 WEST ESPLANADE CO. LTD.,"255,030"
283110 B.C. LTD.,"144,680"
303627 B.C. LTD.,"1,514,332"
310613 B.C. LTD.,"25,310"
3244601 CANADA INC.,"35,104"
341234 B.C. LTD.,"428,205"
341567 B.C. LTD.,"237,712"
354875 B.C. LTD.,"349,660"
357689 B.C. LTD.,"2,479,722"
366016 B.C. LTD.,"196,261"
3752 INVESTMENTS LTD.,"220,686"
381881 B.C. LTD.,"174,858"
385242 B.C. LTD.,"130,506"
391102 B.C. LTD.,"142,879"
3GA MARINE LTD.,"328,184"
4000 SEYMOUR PLACE BUILDING LTD.,"7,463,773"
421579 B.C. LTD.,"27,450"
435862 B.C. LTD.,"38,899"
43K WILDERNESS SOLUTIONS INC.,"619,009"
4450 GREIG AVENUE HOLDINGS,"73,039"
450617 B.C. LTD.,"315,205"
455191 BRITISH COLUMBIA LTD.,"524,646"
458131 B.C. LTD.,"902,007"
459795 B.C. LTD.,"190,124"
461339 B.C. LTD.,"402,222"
478008 B.C. LTD.,"246,806"
486261 B.C. LTD.,"177,090"
